Image-Name,File-Type,File-Size,Converted-File-Size,Conversion-Time
"SVG_72_DPI.svg","svg",342.246,"Error","Error"
"SVG_96_DPI.svg","svg",342.246,"Error","Error"
"SVG_Black_White.svg","svg",34.069,13.63,212
"SVG_Full_Color.svg","svg",228.813,1.228,472
"SVG_Grayscale.svg","svg",283.976,11.231,457
"SVG_Transparent.svg","svg",29.693,12.528,183
"TIF_256.tif","tif",361.17,83.881,65
"TIF_Black_White.tif","tif",5918.784,29.74,57
"TIF_Full_Color.tif","tif",1549.05,48.958,99
"TIF_Gray_Scale.tif","tif",1988.824,22.568,56
"TIF_Transparent.tif","tif",361.144,83.835,69
"TIF_Transperant.tif","tif",1079.276,31.538,97
"yoges",,0,"Error","Error"
